player_id,game_id,Salary,game_date,gamesPlayed,gamesStarted,flyOuts,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,stolenBasePercentage,numberOfPitches,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,battersFaced,outs,gamesPitched,completeGames,shutouts,pitchesThrown,balls,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,rbi,gamesFinished,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies,passedBall,full_name,position_type,team,game_location,opp,order,complete_game_shutout,DKPts,throws,note,team_strikeOuts,team_hits,team_hitByPitch,team_inningsPitched,team_earnedRuns,season,K_prcnt,position,RotoName,Roster Position,ERA
628711,449025,8900.0,2016-09-13,1,1,1.0,4,3,0,0,0,0,2,3,0,4,1,13,0,0,.---,78,3.2,0,0,0,0,0,0,0,17,11,1,0,0,78.0,31.0,47,0.0,1,0,0,1,0,0,0.00,0.00,0,0,0,0,0,0,julio urias,Pitcher,LAD,away,NYY,-1,0.0,8.2,L,,5,8,1,8.0,3,2016,0.1176470588235294,SP,juliurias,P,0.0
628711,449248,8700.0,2016-09-29,1,1,1.0,3,1,0,1,0,0,5,2,0,1,0,9,0,1,1.000,58,3.0,0,0,0,0,0,0,0,12,9,1,0,0,58.0,23.0,35,0.0,0,0,0,0,0,0,0.00,0.00,0,0,0,1,0,0,julio urias,Pitcher,LAD,away,SD,-1,0.0,16.15,L,,10,14,0,9.0,4,2016,0.4166666666666667,SP,juliurias,P,0.0
628711,490422,8800.0,2017-04-27,1,1,1.0,4,7,1,0,0,0,4,4,1,4,0,19,0,0,.---,90,5.2,0,0,0,0,0,0,1,23,17,1,0,0,90.0,35.0,55,0.0,0,0,0,0,1,0,1.59,0.00,0,0,0,0,0,0,julio urias,Pitcher,LAD,away,SF,-1,0.0,15.300000000000002,L,,8,7,0,10.0,1,2017,0.1739130434782608,,juliurias,P,1.7307692307692306
628711,490513,8500.0,2017-05-03,1,1,5.0,6,6,0,1,0,0,1,4,0,4,0,16,0,0,.---,88,5.0,0,0,0,0,0,0,0,21,15,1,0,0,88.0,35.0,53,0.0,0,0,0,0,0,0,0.00,0.00,0,0,0,1,0,0,julio urias,Pitcher,LAD,home,SF,-1,0.0,10.85,L,,10,11,0,11.0,4,2017,0.0476190476190476,SP,juliurias,P,0.0
628711,490592,8000.0,2017-05-09,1,1,3.0,8,6,1,1,0,0,5,2,0,1,0,20,1,0,.000,95,6.1,0,0,0,0,0,0,1,22,19,1,0,0,95.0,34.0,61,0.0,0,0,0,0,0,0,1.42,0.00,0,0,0,0,0,0,julio urias,Pitcher,LAD,home,PIT,-1,0.0,21.125,L,,10,4,0,10.0,3,2017,0.2272727272727272,SP,juliurias,P,1.4754098360655739
628711,490660,6800.0,2017-05-14,1,1,4.0,5,4,6,1,0,1,1,1,0,7,1,17,1,0,.000,68,4.0,0,1,0,0,0,0,6,19,12,1,0,0,68.0,26.0,42,0.0,1,0,0,0,5,0,13.50,2.25,0,0,0,0,0,0,julio urias,Pitcher,LAD,away,COL,-1,0.0,-5.8,L,"(L, 0-1)",6,13,1,8.0,9,2017,0.0526315789473684,SP,juliurias,P,13.5
628711,490740,8200.0,2017-05-20,1,1,1.0,5,2,7,2,1,0,0,3,0,7,0,13,0,1,1.000,71,2.1,0,1,0,0,0,0,6,17,7,1,0,0,71.0,28.0,43,0.0,0,1,1,0,7,0,27.00,0.00,0,0,0,1,0,0,julio urias,Pitcher,LAD,home,MIA,-1,0.0,-11.475,L,"(L, 0-2)",9,14,0,9.0,9,2017,0.0,,juliurias,P,25.71428571428571
628711,565465,6400.0,2019-07-30,1,1,,2,1,3,1,1,0,3,1,0,6,0,12,1,0,.000,61,2.2,0,0,0,0,0,0,2,13,8,1,0,0,61.0,21.0,40,0.0,0,0,0,1,2,0,10.13,0.00,0,0,0,0,0,0,julio urias,Pitcher,LAD,away,COL,-1,0.0,3.35,L,,8,10,0,9.0,3,2019,0.2307692307692307,SP,juliurias,P,8.181818181818182
628711,565803,8700.0,2019-04-01,1,1,1.0,4,4,0,2,0,0,7,0,0,3,1,18,0,0,.---,77,5.0,0,0,0,0,0,0,0,19,15,1,0,0,77.0,26.0,51,0.0,1,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,julio urias,Pitcher,LAD,home,SF,-1,0.0,22.85,L,,11,9,1,9.0,4,2019,0.3684210526315789,SP,juliurias,P,0.0
628711,565806,8700.0,2019-04-12,1,1,3.0,4,8,6,0,0,2,4,1,0,6,1,22,0,0,.---,87,5.0,0,1,0,0,0,0,5,24,15,1,0,0,87.0,33.0,54,0.0,1,0,0,0,6,0,10.80,3.60,0,0,0,0,0,0,julio urias,Pitcher,LAD,home,MIL,-1,0.0,5.050000000000001,L,"(L, 0-1)",7,12,1,9.0,7,2019,0.1666666666666666,,juliurias,P,9.0
