Salary,player_id,game_date,gamesPlayed,gamesStarted,flyOuts,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,stolenBasePercentage,numberOfPitches,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,battersFaced,outs,gamesPitched,completeGames,shutouts,pitchesThrown,balls,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,rbi,gamesFinished,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies,passedBall,full_name,position_type,team,game_location,opp,order,complete_game_shutout,DKPts,throws,note,team_strikeOuts,team_hits,team_hitByPitch,team_inningsPitched,team_earnedRuns,season,game_id,K_prcnt,position,RotoName,Roster Position
5400.0,607074,2015-07-05,1,1,2.0,5,4,4,1,0,1,7,4,0,4,0,19,0,2,1.000,102,5.0,0,1,0,0,0,0,3,24,15,1,0,0,102.0,37.0,65,0.0,0,0,0,0,2,0,7.20,1.80,0,0,0,1,0,0,carlos rodon,Pitcher,CWS,home,BAL,-1,0.0,16.85,L,"(L, 3-2)",11,10,0,9.0,6,2015,414878,0.2916666666666667,SP,carlrodon,SP
5700.0,607074,2015-07-10,1,1,,4,4,0,0,0,0,6,6,0,2,0,16,1,0,.000,104,6.0,0,0,0,0,0,0,0,22,18,1,0,0,104.0,47.0,57,0.0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,away,CHC,-1,0.0,24.3,L,,12,3,0,9.0,0,2015,414946,0.2727272727272727,,carlrodon,SP
6200.0,607074,2015-07-21,1,1,3.0,2,4,7,1,1,1,6,3,0,7,2,19,0,0,.---,99,4.0,0,1,0,0,0,0,7,24,12,1,0,0,99.0,41.0,58,0.0,2,0,0,0,7,0,15.75,2.25,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,home,STL,-1,0.0,1.6,L,"(L, 3-3)",8,11,2,9.0,8,2015,415055,0.25,SP,carlrodon,SP
6000.0,607074,2015-07-26,1,1,3.0,5,5,0,1,0,0,9,0,0,5,1,24,0,0,.---,111,6.2,1,0,0,0,0,0,0,25,20,1,0,0,111.0,38.0,73,0.0,1,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,away,CLE,-1,0.0,32.35,L,"(W, 4-3)",13,6,1,9.0,1,2015,415116,0.36,SP,carlrodon,SP
6500.0,607074,2015-07-31,1,1,,3,2,8,4,0,1,4,4,0,8,0,16,0,0,.---,91,3.0,0,1,0,0,0,0,8,21,9,1,0,0,91.0,36.0,55,0.0,0,0,3,0,6,0,24.00,3.00,0,0,0,1,0,0,carlos rodon,Pitcher,CWS,home,NYY,-1,0.0,-6.05,L,"(L, 4-4)",9,18,0,9.0,13,2015,415189,0.1904761904761904,SP,carlrodon,SP
6400.0,607074,2015-08-05,1,1,3.0,3,7,4,2,0,1,3,2,0,6,1,19,0,0,.---,81,4.2,0,0,0,0,0,0,4,22,14,1,0,0,81.0,32.0,49,0.0,1,0,0,0,3,0,7.71,1.93,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,home,TB,-1,0.0,3.2500000000000013,L,,11,12,1,10.0,5,2015,415266,0.1363636363636363,,carlrodon,SP
5400.0,607074,2015-08-11,1,1,2.0,7,3,0,1,0,0,11,1,0,4,0,25,0,0,.---,107,7.0,1,0,0,0,0,0,0,26,21,1,0,0,107.0,41.0,66,0.0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,home,LAA,-1,0.0,39.35,L,"(W, 5-4)",13,5,0,9.0,0,2015,415329,0.4230769230769231,,carlrodon,SP
6700.0,607074,2015-08-17,1,1,4.0,8,9,2,0,0,2,5,3,0,4,0,25,1,0,.000,104,8.0,0,1,0,0,0,0,2,29,24,1,1,0,104.0,36.0,68,0.0,0,0,0,1,2,0,2.25,2.25,0,0,0,1,0,0,carlos rodon,Pitcher,CWS,away,LAA,-1,0.0,24.1,L,"(L, 5-5)",5,4,0,8.0,2,2015,415415,0.1724137931034483,SP,carlrodon,SP
7100.0,607074,2015-08-22,1,1,1.0,9,3,3,2,0,0,8,4,0,6,0,26,0,0,.---,116,7.0,0,0,0,0,0,0,1,30,21,1,0,0,116.0,50.0,66,0.0,0,0,0,0,2,0,3.86,0.00,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,away,SEA,-1,0.0,26.15,L,,12,8,0,10.0,1,2015,415481,0.2666666666666666,SP,carlrodon,SP
9800.0,607074,2015-08-27,1,1,1.0,9,3,2,0,0,1,5,3,0,3,0,20,0,0,.---,90,6.0,1,0,0,0,0,0,2,23,18,1,0,0,90.0,37.0,53,0.0,0,0,0,0,2,0,3.00,1.50,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,home,SEA,-1,0.0,21.7,L,"(W, 6-5)",8,7,0,9.0,2,2015,415555,0.217391304347826,SP,carlrodon,SP
7500.0,607074,2015-09-02,1,1,3.0,7,6,2,0,0,1,4,3,0,5,0,22,0,0,.---,104,6.0,0,1,0,0,0,0,2,25,18,1,0,0,104.0,38.0,66,0.0,0,0,0,0,1,0,3.00,1.50,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,away,MIN,-1,0.0,14.5,L,"(L, 6-6)",7,7,0,8.0,3,2015,415632,0.16,SP,carlrodon,SP
7200.0,607074,2015-09-08,1,1,2.0,7,7,1,1,0,0,8,1,0,5,0,27,0,0,.---,112,7.0,1,0,0,0,0,0,1,28,21,1,0,0,112.0,42.0,70,0.0,0,0,0,0,1,0,1.29,0.00,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,home,CLE,-1,0.0,30.75,L,"(W, 7-6)",11,8,0,9.0,4,2015,415714,0.2857142857142857,SP,carlrodon,SP
8200.0,607074,2015-09-19,1,1,6.0,9,9,1,2,0,0,4,1,0,6,1,26,0,0,.---,103,7.2,1,0,0,0,0,0,1,30,23,1,0,0,103.0,38.0,65,0.0,1,0,0,0,1,0,1.17,0.00,0,0,0,1,1,0,carlos rodon,Pitcher,CWS,away,CLE,-1,0.0,22.0,L,"(W, 8-6)",6,9,1,9.0,3,2015,415863,0.1333333333333333,,carlrodon,SP
7700.0,607074,2015-09-25,1,1,4.0,5,7,2,1,0,0,4,5,0,5,2,21,0,0,.---,91,6.0,1,0,0,0,0,0,2,28,18,1,0,0,91.0,42.0,49,0.0,2,0,1,0,2,0,3.00,0.00,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,away,NYY,-1,0.0,17.3,L,"(W, 9-6)",5,6,2,9.0,2,2015,415943,0.1428571428571428,SP,carlrodon,SP
9000.0,607074,2016-04-06,1,1,2.0,8,7,2,0,0,1,6,1,0,7,0,27,0,0,.---,99,7.0,0,1,0,0,0,0,2,29,21,1,0,0,99.0,38.0,61,0.0,0,0,0,0,2,0,2.57,1.29,0,0,0,0,1,0,carlos rodon,Pitcher,CWS,away,OAK,-1,0.0,19.55,L,"(L, 0-1)",8,7,0,8.0,2,2016,446890,0.2068965517241379,SP,carlrodon,P
9500.0,607074,2016-04-13,1,1,3.0,6,6,0,0,0,0,6,5,1,3,0,19,0,0,.---,107,6.0,1,0,0,0,0,0,0,26,18,1,0,0,107.0,43.0,64,0.0,0,0,0,0,0,0,0.00,0.00,0,0,0,2,0,0,carlos rodon,Pitcher,CWS,away,MIN,-1,0.0,27.7,L,"(W, 1-1)",9,4,0,9.0,0,2016,446984,0.2307692307692307,SP,carlrodon,P
9100.0,607074,2016-04-18,1,1,,0,0,5,0,0,0,1,2,0,6,0,7,0,0,.---,41,0.1,0,1,0,0,0,0,5,9,1,1,0,0,41.0,19.0,22,0.0,0,0,0,0,4,0,135.00,0.00,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,home,LAA,-1,0.0,-11.375,L,"(L, 1-2)",5,13,0,9.0,7,2016,447055,0.1111111111111111,SP,carlrodon,P
8400.0,607074,2016-04-23,1,1,2.0,8,5,2,0,0,1,7,2,0,2,0,22,0,1,1.000,98,6.2,0,0,0,0,0,0,2,24,20,1,0,0,98.0,40.0,58,0.0,0,0,0,0,1,0,2.70,1.35,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,home,TEX,-1,0.0,22.750000000000004,L,,11,7,0,11.0,3,2016,447132,0.2916666666666667,,carlrodon,P
